City,Business Name,Review Text,TrueTimestamp,sentiment
agadir,Attijariwafa Bank,Beaucoup des clients qui attends outside alors que un seul guichet qui travail… deja ca existe 3 mais just un qui bosse 🤦🏽‍♂️ …,2022-03-14 21:22:17.360486,0
agadir,Attijariwafa Bank,Bon service,2023-03-14 21:22:17.360486,1
agadir,Attijariwafa Bank,Service👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽 …,2024-12-13 21:22:17.360486,1
agadir,Attijariwafa Bank,"Le service est nul, j'ai pas de compte bancaire à cette banque, mais j'ai effectué un virement samedi 21/09/2024 matin, et jusqu'à maintenant 20h00 23/09/2024, le destinataire n'a pas reçu le virement.
Je suis un client de la banque crédit du Maroc , et croyez moi. Le virement est instantanée.",2024-10-14 21:22:17.360486,0
agadir,Attijariwafa Bank,"Excellent. Très bonne banque !
Remarque les esprits chagrins qui mettent 1 étoile à wafabank  doivent savoir que wafabank meilleure banque au Maroc et plus n'accueille pas n'importe qui avec le sourire pour
des personnes peu claires avec des rentrées d'argent hypothétiques et des projets fumeux.",2024-09-14 21:22:17.360486,1
agadir,Attijariwafa Bank,"J’ai toujours retiré de l’argent de n’importe quelle agence !! Aujourd’hui le monsieur youssef de l’agence founty m’a fait attendre 1h son chef qui n’est pas tte en sachant que youssef sait très bien que son chef ne vient pas à l’agence !! Youssef ma mal parlé deésagréable et malpoli!! Service 0
Service médiocre 0 Youssef de l’agence Attijari bank hassbia allah fik tu m’a faut attendre ton chef 1h pour rien tu savais qu’il viendra pas !!!! Tu m’a juste demandé d’attendre !!! Youssef de l’agence founty je ferais que des réclamations walah partout !!! Faut que tu change d’emploi !!tes pas fait pour travailler dans une agence de bank",2025-03-13 21:22:17.360486,0
agadir,Attijariwafa Bank,"1 etoile car impossible de mettre plus bas !! Aucun services, accueil deplorable, c'est une banque qui deteste les clients, j'ai cloture mon compte pour aller sous de meilleurs cieuxsi vous pouvez deposer votre argent et ne pas les deranger c'est parfait. AFUIR",2025-03-13 21:22:17.360486,0
agadir,Attijariwafa Bank,"Je voulais ouvrir un compte pratique ment aucune parole sauf donnez moi votre passeport après avoir signé X documents j ais demandé au conseiller moi je n ais rien en retour? Il m as donné un RIB  sans aucune explication sauf de mettre de l argent sur le nouveau compte carnet de chèque? Date ?cb? ensuite j ais du partir sans un au revoir etc
Très déçu pour 1 premier contact!!ensuite j y suis retourné 2 fois pour résilié le contrat nous sommes en septembre toujours rien de fait agence à marjane agadir",2020-03-14 21:22:17.360486,0
agadir,Attijariwafa Bank,Très bonne équipe professionnelle et à l’écoute,2025-01-12 21:22:17.360486,1
agadir,Attijariwafa Bank,"Service déplorable, la réclamation sera faite au siège, ils doivent revoir leur manière de parler aux clients",2025-03-13 21:22:17.361487,0
agadir,Attijariwafa Bank,Mauvais service,2023-03-14 21:22:17.361487,0
agadir,Attijariwafa Bank,Très utile,2015-03-16 21:22:17.361487,1
agadir,Attijariwafa Bank,"Le tarif de la carte Visa bancaire est de 10,40 dirhams sans frais en haut",2025-03-13 21:22:17.361487,1
agadir,Attijariwafa Bank,"La pire banque avec littéralement aucun service client !
Je suis allé vendredi soir au distributeur automatique - quelques heures avant mon voyage de retour aux États-Unis - pour retirer de l'argent. Après avoir inséré ma carte, mon code PIN et le montant souhaité, l'écran m'a demandé de prendre mon argent et la carte, mais aucun argent ni carte n'est sorti du distributeur automatique !!!! J'ai appelé à l'aide et pas de réponse. J'ai rappelé lundi et toujours pas de réponse. J'ai vérifié mon compte dans l'application et j'ai été facturé pour l'argent que je n'ai jamais reçu. La machine a pris ma carte et mon argent, et personne au service client ne doit répondre à mes appels. J'ai même déposé une réclamation via l'application et toujours pas de réponse !! Je suis aux États-Unis et j'essaie de contacter la banque avec des appels longue distance pour résoudre ce problème, mais personne ne répond toujours !!!!",2023-03-14 21:22:17.361487,0
agadir,Attijariwafa Bank,"c'est ma banque et les gens là-bas ne sont pas très qualifiés... ils ne savent pas ce qu'est Paypal, et ils ne savent pas quels différents types de lettre de crédit ils proposent...",2017-03-15 21:22:17.361487,0
agadir,Société Générale,Mon compte est toujours bloqué et je suis parle avec plusieurs  personne pour me régler Cette problème mais malheureusement toujours pareil je suis à Paris je téléphone vers le Maroc toujours 50 € pour rien du tout malheureusement c’est horrible,2023-03-14 21:22:17.361487,0
agadir,Société Générale,La localisation n'était pas bonne plus de 600m de decallage  je viens de rectifier pour la famille google maps surtout les gars de la nuits!,2025-03-13 21:22:17.361487,0
agadir,Société Générale,Retrait rejeté et surtout il m'ont débitée la somme éviter les distributeur de  societe générale agadir.  Je n'ai toujours pas été rembourser .c'est une catastrophe .,2020-03-14 21:22:17.361487,0
agadir,Société Générale,Une banque hors service j’attend le code de ma carte depuis 5 mois personne ne repond sur tel c’est catastrophique👎👎👎 …,2025-03-13 21:22:17.361487,0
agadir,Société Générale,"Je vais retirer de l'argent au distributeur et ils retiennent mon visa.
La banque est fermée et je me retrouve sans carte et sans argent.
Si le guichet automatique ne fonctionne pas, ils doivent le fermer afin que vous ne gardiez pas les cartes.
En allant récupérer le mien, j'ai remarqué qu'il y en avait plusieurs provenant d'autres clients.
Le salarié ne fait pas son travail",2025-03-13 21:22:17.361487,0
agadir,Société Générale,Le retrait n’a pas fonctionné mais m’a quand même facturé. Éviter!!!,2025-03-13 21:22:17.361487,0
agadir,Bank of Africa,Ils ne respectent pas les horaires de travail,2024-10-14 21:22:17.361487,0
agadir,Bank of Africa,"Le pire accueil jamais vu. Même quand on leur dit Salam oualaykoum ils ne te répondent même pas.
Accueil client 0/5.
Respect et politesse 0/5.",2025-03-13 21:22:17.361487,0
agadir,Bank of Africa,Nul,2023-03-14 21:22:17.361487,0
agadir,Bank of Africa,L'accueil est super,2017-03-15 21:22:17.361487,1
agadir,Banque Populaire,"Une grosse différence depuis le remplacement de l'ancien manager Boumesmar (un homme professionnel), le manager actuel est en dessous de la moyenne, tout comme toute l'équipe.",2025-03-13 21:22:17.361487,0
agadir,Banque Populaire,Bien,2018-03-15 21:22:17.361487,1
agadir,Other,"Les ATM de cette banque prélèvent des frais alors même que nous refusons la transaction de retrait
. J'ai refusé un retrait contenant des frais de retrait top important, mais ils ont quand même procéder au retrait et aux prélèvement des frais. ATM à éviter !",2025-01-12 21:22:17.361487,0
agadir,Other,"le service est nul, aujourd'hui j'y suis allée à 13h ils m'ont dit qu'ils sont en pause déjeuner, du coup je fais un tour et je reviens à 13:53h il y avait deux clients avant moi, une fois mon tour est arrivé, la dame a quitté son bureau pour aller manger le sécurité m'a demandé encore une fois d'attendre j'ai attendu 1h jusqu'à 14:55h elle n' est pas encore là, moi qui avait 2h de pause je les ai passé dans cette agence sans être servi😤😤😤",2025-03-13 21:22:17.361487,0
agadir,Other,J'ai ouvert un compte début juillet 2020 et j'ai eu une carte de crédit le 21 juillet débitée pour 418 MDA et inutilisable car sans code. Un mois plus tard je n'ai toujours pas reçu le code et il faut attendre pour rien à l'agence pour réclamer.  C'est une agence qui se moque des clients.,2021-03-14 21:22:17.361487,0
agadir,Other,"Vraiment c’est nul
A chaque fois je viens a midi , il mens dis il ya personne a la caisse , la personne en pause  , c’est la 4eme fois",2025-03-13 21:22:17.361487,0
agadir,Other,"Et bien déception et frustration cette fois-ci face au manque de réponse et d'assistance que j'ai reçu de votre service client ou disons de mon « conseiller » Karim serghouchni (CIH bank med 5). Malgré de nombreuses tentatives pour contacter votre banque par téléphone et par e-mail, je n'ai reçu aucune forme d'accusé de réception ou de résolution concernant mes préoccupations.

Je suis un client fidèle de CIH Banque depuis plus de 8 ans, et j'ai toujours apprécié la qualité du service rendu. Cependant, le récent manque de communication m’a laissé le sentiment d’être négligé et sans soutien. En tant que client, je crois que j'ai le droit de recevoir une assistance rapide et satisfaisante lorsque je rencontre des problèmes ou que j'ai des questions, en particulier après avoir signalé au conseiller désigné qui n'a jamais répondu pendant les heures de travail et quand il le fait, il a répondu en dehors des heures de travail, puis il s'est plaint qu'il était censé ne pas répondre puisqu'il n'était pas en service, mais lorsqu'il est en service, il ne répond jamais, ce qui prête à confusion.

J'ai suivi assidûment les voies recommandées pour demander de l'aide, mais mes efforts ont été accueillis par le silence. Cette expérience m'a causé des désagréments importants et m'a laissé incertain quant au statut de mes demandes. J'espère que ce n'est pas le niveau de service que la banque CIH entend offrir à ses précieux clients.

Je vous demande de bien vouloir enquêter sur cette affaire dans les plus brefs délais et de me fournir une explication complète de l'absence de réponse. De plus, je demande l'assurance que les mesures nécessaires seront prises pour rectifier cette situation et améliorer les performances du service client de la banque à l'avenir. Plus précisément, je parle de mon conseiller Karim serghouchni qui travaille au CIH agadir med 5. Il manque littéralement de compétences en communication car il vient de me répondre en audio WhatsApp en disant (ngolik a shrif) ce qui n'est pas près d'être une façon professionnelle de parler aux clients, cela m'a poussé à demander à changer de ville d'agence.

J'apprécierais que vous vous penchiez rapidement sur cette question. Je crois en l'importance d'une communication ouverte et je suis convaincu que vous prendrez les mesures nécessaires pour répondre à mes préoccupations. J'espère obtenir une résolution satisfaisante pour restaurer ma confiance dans l'engagement de la banque CIH en faveur de la satisfaction de ses clients.

20.06.2023",2025-03-13 21:22:17.361487,0
agadir,Other,"A chaque fois que je viens à l'agence, je trouve l'employé me disant que le serveur est en panne..... Mauvais service client",2025-03-13 21:22:17.361487,0
agadir,Other,Banque sûre,2023-03-14 21:22:17.361487,1
agadir,Other,Serviable et pressé,2022-03-14 21:22:17.361487,1
agadir,Other,Mauvais service client,2023-03-14 21:22:17.361487,0
agadir,Other,Mauvais service,2023-03-14 21:22:17.361487,0
agadir,Banque Populaire,Pire agence que vous pouvez visiter,2024-04-17 21:22:17.361487,0
agadir,Banque Populaire,"L’agence ne communique pas à 90 pour cent, le téléphone ne fonctionne pas, il n’y a aucune promesse d’accomplir une tâche et il y a un retard important dans l’achèvement des tâches liées à l’agence, comme c’est le cas pour la plupart des agences de la Banque populaire depuis trente ans ou plus. Vous attendez un service d’une administration publique. De manière générale, les comportements en ressources humaines doivent être travaillés.",2024-06-16 21:22:17.361487,0
agadir,Banque Populaire,"Absolument surpris, le service client était vraiment bon, Kawtar était très gentil et serviable, le manager était également très gentil et nous a tout expliqué, merci.",2024-10-14 21:22:17.361487,1
agadir,Al Barid Bank,Personne au guichet attente interminable pour récupérer une carte qui se fait avaler sans raison vraiment médiocre comme service public.....,2025-03-13 21:22:17.361487,0
agadir,Al Barid Bank,Al barid banc agadir Hay senari un très mauvais service personne non accueillant très froid autoritaire beaucoup d’attente pour effectuer un transfert ancien personnel mieux que le nouveau,2023-03-14 21:22:17.361487,0
agadir,Al Barid Bank,Tres mauvaise service de la part des personnels il part pour le déjeuner de 12h a 14h,2019-03-15 21:22:17.362486,0
agadir,Al Barid Bank,👏🏻👏🏻👏🏻 …,2022-03-14 21:22:17.362486,1
agadir,Al Barid Bank,C'est le seul distributeur automatique au Maroc qui ne facture pas de frais lors de l'utilisation de la carte Revolut ! Je conseille!,2024-06-16 21:22:17.362486,1
agadir,Al Barid Bank,"Aujourd'hui, je voulais payer mes impôts Alors, j'ai attendu de nombreuses heures Et j'étais dehors devant un poste bancaire, Alors il est sorti vers nous, un agent de sécurité nous a dit qu'Internet n'existait pas C'est un scandale et une honte

Très mauvais service
Très mauvais service",2022-03-14 21:22:17.362486,0
agadir,Al Barid Bank,très mauvais service,2023-03-14 21:22:17.362486,0
agadir,Al Barid Bank,Labas aussi,2019-03-15 21:22:17.362486,1
agadir,Al Barid Bank,très mauvais service,2022-03-14 21:22:17.362486,0
agadir,Al Barid Bank,Employés incompétents,2021-03-14 21:22:17.362486,0
agadir,Al Barid Bank,Mauvais service,2022-03-14 21:22:17.362486,0
agadir,Al Barid Bank,mauvais,2023-03-14 21:22:17.362486,0
agadir,Al Barid Bank,Très mauvais service,2022-03-14 21:22:17.362486,0
agadir,Société Générale,"Ne répondent jamais au téléphone,  8 appels depuis ce matin...",2023-03-14 21:22:17.362486,0
agadir,Société Générale,"J'essaie de retirer mon argent de mon compte depuis 3 jours. Système en panne, attente interminable, personnel antipathique et qui s'en fiche. Une seule caisse ouverte à tous les clients signifie de longs délais d' attente , alors que 6 personnes restent assises dans des bureaux à se détendre",2025-03-13 21:22:17.362486,0
agadir,Société Générale,"QUELLE ARNAQUE !
Je souhaite clôturer mon compte qui est à 0 dhs et paiement de tous les frais de tenue de compte trimestriels le M. refuse sous prétexte que SI je veux clôturer mon compte je dois payer les frais jusqu'à septembre 2025 un an supplémentaire des frais alors que je ne vais plus l'utiliser! Il veut me faire signer un document stipulant que je bénéficie d'une assurance chez un établissement tierce alors que je ne me suis JAMAIS inscrite à cette assurance. MAIS JE RÊVE !
Cliente depuis plusieurs années je comptais recouvrir un compte après quand j'en aurai besoin mais avec ce chantage et cette arnaque hors de loi PLUS JAMAIS LA SGMB!",2025-01-12 21:22:17.362486,0
agadir,Société Générale,Mauvais service,2025-03-13 21:22:17.362486,0
agadir,Société Générale,"Bjr c est la troisième fois que j' ai un problème au niveau de mon compte et je
voulais contacter ma banque agence agadir talborjt
Ils m'ont jamais répondu via le téléphone fixe parfois on est loin et on voulait régler notre problème par téléphone comme maintenant je me suis surpris d avoir retrouvé sur mon compte un retrait de 3000 dhs que j' ai pas effectué",2025-03-13 21:22:17.362486,0
agadir,Société Générale,Société générale a un service très très décevant ils ne répondent pas aux appels lors d’une réclamation pour ouvrir un compte ils sont toujours présents pour réclamer ils sont toujours absent je ne suis absolument pas satisfaite de leurs services j’ai même fermé mon compte à cause de leur comportement irrespectueux... nul 👎🏽 …,2021-03-14 21:22:17.362486,0
agadir,Société Générale,Je ne vois pas l'intérêt d'avoir un numéro fixe si personne ne réponds jamais!!! C'est decevant et énervant.,2023-03-14 21:22:17.362486,0
agadir,Société Générale,"Mon avis personnel, je ne recommande pas cette banque, leurs services sont en dessous de zéro",2023-03-14 21:22:17.362486,0
agadir,Société Générale,Agence bancaire de la SGMB,2017-03-15 21:22:17.362486,1
agadir,Société Générale,Bon service,2020-03-14 21:22:17.362486,1
agadir,Société Générale,Agence Bancaire de SG MB,2017-03-15 21:22:17.362486,1
agadir,Société Générale,Une banque avec un distributeur dans la zone piétonne,2018-03-15 21:22:17.362486,1
