City,Business Name,Stars,TrueTimestamp,sentiment
agadir,Attijariwafa Bank,2,2022-03-14 21:22:17.360486,0
agadir,Attijariwafa Bank,4,2023-03-14 21:22:17.360486,1
agadir,Attijariwafa Bank,5,2024-12-13 21:22:17.360486,1
agadir,Attijariwafa Bank,1,2024-10-14 21:22:17.360486,0
agadir,Attijariwafa Bank,5,2024-09-14 21:22:17.360486,1
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.360486,0
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.360486,0
agadir,Attijariwafa Bank,1,2020-03-14 21:22:17.360486,0
agadir,Attijariwafa Bank,5,2025-01-12 21:22:17.360486,1
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.361487,0
agadir,Attijariwafa Bank,1,2023-03-14 21:22:17.361487,0
agadir,Attijariwafa Bank,5,2015-03-16 21:22:17.361487,1
agadir,Attijariwafa Bank,5,2025-03-13 21:22:17.361487,1
agadir,Attijariwafa Bank,1,2023-03-14 21:22:17.361487,0
agadir,Attijariwafa Bank,1,2017-03-15 21:22:17.361487,0
agadir,Société Générale,1,2023-03-14 21:22:17.361487,0
agadir,Société Générale,1,2025-03-13 21:22:17.361487,0
agadir,Société Générale,1,2020-03-14 21:22:17.361487,0
agadir,Société Générale,1,2025-03-13 21:22:17.361487,0
agadir,Société Générale,1,2025-03-13 21:22:17.361487,0
agadir,Société Générale,1,2025-03-13 21:22:17.361487,0
agadir,Bank of Africa,1,2024-10-14 21:22:17.361487,0
agadir,Bank of Africa,1,2025-03-13 21:22:17.361487,0
agadir,Bank of Africa,1,2023-03-14 21:22:17.361487,0
agadir,Bank of Africa,4,2017-03-15 21:22:17.361487,1
agadir,Banque Populaire,1,2025-03-13 21:22:17.361487,0
agadir,Banque Populaire,4,2018-03-15 21:22:17.361487,1
agadir,Other,1,2025-01-12 21:22:17.361487,0
agadir,Other,1,2025-03-13 21:22:17.361487,0
agadir,Other,1,2021-03-14 21:22:17.361487,0
agadir,Other,1,2025-03-13 21:22:17.361487,0
agadir,Other,1,2025-03-13 21:22:17.361487,0
agadir,Other,1,2025-03-13 21:22:17.361487,0
agadir,Other,5,2023-03-14 21:22:17.361487,1
agadir,Other,5,2022-03-14 21:22:17.361487,1
agadir,Other,1,2023-03-14 21:22:17.361487,0
agadir,Other,1,2023-03-14 21:22:17.361487,0
agadir,Banque Populaire,1,2024-04-17 21:22:17.361487,0
agadir,Banque Populaire,1,2024-06-16 21:22:17.361487,0
agadir,Banque Populaire,5,2024-10-14 21:22:17.361487,1
agadir,Al Barid Bank,1,2025-03-13 21:22:17.361487,0
agadir,Al Barid Bank,1,2023-03-14 21:22:17.361487,0
agadir,Al Barid Bank,1,2019-03-15 21:22:17.362486,0
agadir,Al Barid Bank,5,2022-03-14 21:22:17.362486,1
agadir,Al Barid Bank,5,2024-06-16 21:22:17.362486,1
agadir,Al Barid Bank,1,2022-03-14 21:22:17.362486,0
agadir,Al Barid Bank,1,2023-03-14 21:22:17.362486,0
