City,Business Name,Stars,TrueTimestamp
agadir,Attijariwafa Bank,2,2022-03-14 21:22:17.360486
agadir,Attijariwafa Bank,4,2023-03-14 21:22:17.360486
agadir,Attijariwafa Bank,5,2024-12-13 21:22:17.360486
agadir,Attijariwafa Bank,5,2012-03-16 21:22:17.360486
agadir,Attijariwafa Bank,1,2024-10-14 21:22:17.360486
agadir,Attijariwafa Bank,5,2024-09-14 21:22:17.360486
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.360486
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.360486
agadir,Attijariwafa Bank,1,2020-03-14 21:22:17.360486
agadir,Attijariwafa Bank,5,2025-01-12 21:22:17.360486
agadir,Attijariwafa Bank,1,2025-03-13 21:22:17.361487
agadir,Attijariwafa Bank,1,2023-03-14 21:22:17.361487
agadir,Attijariwafa Bank,5,2015-03-16 21:22:17.361487
agadir,Attijariwafa Bank,5,2025-03-13 21:22:17.361487
agadir,Attijariwafa Bank,1,2023-03-14 21:22:17.361487
agadir,Attijariwafa Bank,1,2017-03-15 21:22:17.361487
agadir,Attijariwafa Bank,4,2024-08-15 21:22:17.361487
agadir,Attijariwafa Bank,4,2017-03-15 21:22:17.361487
agadir,Attijariwafa Bank,5,2017-03-15 21:22:17.361487
agadir,Société Générale Bank,1,2023-03-14 21:22:17.361487
agadir,Société Générale Bank,1,2025-03-13 21:22:17.361487
agadir,Société Générale Bank,1,2020-03-14 21:22:17.361487
agadir,Société Générale Bank,1,2025-03-13 21:22:17.361487
agadir,Société Générale Bank,1,2025-03-13 21:22:17.361487
agadir,Société Générale Bank,1,2025-03-13 21:22:17.361487
agadir,Bank of Africa,1,2024-10-14 21:22:17.361487
agadir,Bank of Africa,1,2025-03-13 21:22:17.361487
agadir,Bank of Africa,1,2023-03-14 21:22:17.361487
agadir,Bank of Africa,4,2017-03-15 21:22:17.361487
agadir,Bank of Africa,4,2025-03-13 21:22:17.361487
agadir,Bank of Africa,5,2024-10-14 21:22:17.361487
agadir,Bank of Africa,3,2025-03-13 21:22:17.361487
agadir,Bank of Africa,1,2017-03-15 21:22:17.361487
agadir,Banque Populaire,1,2025-03-13 21:22:17.361487
agadir,Banque Populaire,4,2018-03-15 21:22:17.361487
agadir,Banque Populaire,5,2019-03-15 21:22:17.361487
agadir,Banque Populaire,4,2019-03-15 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2025-01-12 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2025-03-13 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2021-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2025-03-13 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2025-03-13 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2025-03-13 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,5,2023-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,5,2022-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2023-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2023-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2024-09-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,5,2025-03-13 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,1,2023-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,4,2022-03-14 21:22:17.361487
agadir,CIH Bank - Agence Mohammed V,5,2020-03-14 21:22:17.361487
agadir,Banque Populaire,1,2024-04-17 21:22:17.361487
agadir,Banque Populaire,1,2024-06-16 21:22:17.361487
agadir,Banque Populaire,5,2024-10-14 21:22:17.361487
agadir,Banque Populaire,5,2025-01-12 21:22:17.361487
agadir,Banque Populaire,5,2017-03-15 21:22:17.361487
agadir,Poste Maroc - Al Barid Bank,1,2025-03-13 21:22:17.361487
